STT,Module,Task,Role,Priority,Start Week,End Week,Days,Progress,Status,Dependency,Note
1,Foundation,"Chốt scope đồ án và chia role Admin/Manager/Order Staff/Barista/Security",All,P0,W1,W1,2,80%,Done,,Dùng làm cơ sở cho menu dashboard
2,Foundation,"Hoàn thiện cấu trúc repo client/server/backend/docs/scripts/tests",Dev,P0,W1,W1,2,90%,Done,,Đã tách Express backend, SignalR server, WinForms client
3,Foundation,"Chuẩn hóa Firebase Realtime Database schema và docs/database.md",Backend,P0,W1,W1,2,80%,Done,,Cần dữ liệu mẫu cho report
4,Backend,"Express API auth, employees, foods, ingredients, inventory, chat",Backend,P0,W1,W2,5,75%,Doing,"Foundation",Cần bổ sung notification/payroll/report endpoints
5,Backend,"Winston logging + audit log cho thao tác nhạy cảm",Backend,P0,W2,W3,4,40%,Doing,"Express API","Manager sửa/xóa phải nhập lý do và gửi Admin"
6,Common,"Login, đổi mật khẩu, cập nhật profile, đổi ảnh đại diện",All,P0,W2,W3,5,40%,Doing,"Auth API",Profile dùng chung cho mọi role
7,Common,"Chat nội bộ 1-1 và box chat ca làm việc",All,P0,W2,W3,5,60%,Doing,"SignalR server",ChatServer tự lưu message xuống DB
8,Common,"Đơn xin nghỉ: gửi đơn, trạng thái chờ duyệt/đã duyệt/từ chối",All,P0,W3,W4,5,20%,Todo,"Auth + Employee","Manager duyệt nhân viên, Admin duyệt Manager"
9,Common,"Check-in/check-out và lịch sử chấm công",All,P0,W3,W4,5,30%,Todo,"Employee data",Dùng cho payroll
10,Admin,"Dashboard doanh thu, lợi nhuận, tiền chi, thất thoát theo ngày/tháng/năm",Admin,P0,W3,W5,10,20%,Todo,"Reports API",Biểu đồ line/bar và filter thời gian
11,Admin,"Tiền chi chi tiết: nhập hàng, điện nước, lương, phát sinh",Admin,P0,W4,W5,5,10%,Todo,"Inventory + Payroll",Cần bảng cost categories
12,Admin,"Feedback tốt/xấu theo tháng/quý/năm",Admin,P0,W4,W5,5,10%,Todo,"Feedback data",Biểu đồ tỷ lệ và xu hướng
13,Admin,"Notification center: click thông báo biến mất và chuyển tới trang phù hợp",Admin,P0,W4,W6,8,10%,Todo,"Notification API","Thông báo phải có targetRoute/targetId"
14,Admin,"Form chi tiết thông báo xin nghỉ Manager có Accept/Reject/Chat",Admin,P0,W5,W6,5,0%,Todo,"Leave request",Chat mở đúng phòng với Manager
15,Admin,"Feedback xấu chưa xử lý hiện đỏ và chuyển chat Manager",Admin,P0,W5,W6,4,0%,Todo,"Feedback + Chat","Nếu đã xử lý thì hiển thị hướng giải quyết"
16,Admin,"Payroll: lương tháng từng nhân viên, thưởng/phạt, lý do trừ lương",Admin,P0,W5,W7,10,0%,Todo,"Attendance","Base salary theo bộ phận không nhập lại"
17,Admin,"Broadcast toàn bộ nhân viên và nhắn riêng từng người",Admin,P1,W5,W6,4,30%,Doing,"Chat + Notification","ucBroadcastCenter đã có shell"
18,Admin,"Kích hoạt giao diện quản lý khi Manager nghỉ",Admin,P1,W6,W7,5,0%,Todo,"Role permission","Chỉ hiện khi hôm đó Manager nghỉ"
19,Manager,"Tổng quan ca: khách, doanh thu ca, thất thoát, feedback score",Manager,P0,W6,W7,5,10%,Todo,"Reports API",Dùng cho màn overview manager
20,Manager,"Duyệt/từ chối đơn xin nghỉ của nhân viên tuyến dưới",Manager,P0,W6,W7,4,0%,Todo,"Leave request",Gửi thông báo kết quả cho nhân viên
21,Manager,"Xử lý feedback xấu, bắt buộc nhập hướng giải quyết",Manager,P0,W6,W8,6,0%,Todo,"Feedback API","Sau xử lý đổi đỏ sang xanh báo Admin"
22,Manager,"Khóa món tạm thời khi hết nguyên liệu",Manager,P1,W7,W8,4,0%,Todo,"Food + Inventory",Barista có thể tạo cảnh báo
23,Manager,"Duyệt phiếu hủy nguyên liệu hỏng từ bếp/phụ kho",Manager,P1,W7,W8,4,0%,Todo,"Loss workflow",Ghi vào thất thoát
24,Order Staff,"POS: bán hàng, trạng thái bàn, thanh toán, in bill",Order Staff,P0,W7,W9,10,20%,Todo,"Foods API",Luồng demo quan trọng
25,Order Staff,"Bill có QR feedback độc nhất cho khách đánh giá",Order Staff,P1,W8,W9,5,0%,Todo,"Feedback API",QR encode orderId
26,Order Staff,"CRM khách hàng: số điện thoại, món yêu thích, tổng chi tiêu",Order Staff,P1,W8,W9,5,0%,Todo,"Orders API",Có thể làm shell nếu thiếu thời gian
27,Order Staff,"Khai báo tiền mặt đầu ca và chốt ca",Order Staff,P1,W8,W9,4,0%,Todo,"Attendance/Shift",Phục vụ báo cáo tiền chi/thu
28,Barista,"KDS realtime: order chờ pha, đang làm, hoàn thành",Barista,P0,W7,W9,8,10%,Todo,"POS + SignalR",Thu ngân chốt đơn đẩy xuống pha chế
29,Barista,"Cẩm nang pha chế: công thức, định lượng từng món",Barista,P1,W8,W9,4,0%,Todo,"Foods data",Có thể đọc từ menu/recipe table
30,Barista,"Nút báo hết nguyên liệu đẩy cảnh báo cho Manager/Order Staff",Barista,P1,W8,W9,4,0%,Todo,"Notification API",Có thể khóa món tức thì
31,Warehouse,"Tạo phiếu nhập/xuất kho, chụp hóa đơn đỏ đính kèm",Manager,P1,W7,W9,8,20%,Todo,"Inventory API","Manager từ màn kho/WarehouseManagerForm; AddInventoryImport + Excel CSV"
32,Warehouse,"Tạo phiếu hủy hàng hết hạn/đổ vỡ chờ Manager duyệt",Manager,P1,W8,W9,5,0%,Todo,"Loss workflow",Ghi nhận vào thất thoát
33,Warehouse,"Thuật toán nhập kho thông minh có buffer",Manager,P2,W8,W10,8,0%,Todo,"Sales + Inventory","Nếu hụt 1 tuần tăng nhập, nếu bill giảm 2 ngày giảm nhập"
34,Security,"Bãi xe: ghi số lượng xe, còn trống/quá tải",Security,P2,W8,W9,4,0%,Todo,,Shell đủ demo
35,Security,"SOS an ninh gửi cảnh báo Manager",Security,P2,W8,W9,3,0%,Todo,"Notification API",Có log sự cố
36,Reports,"Biểu đồ revenue/profit/cost/loss theo ngày/tháng/năm",Admin/Manager,P0,W9,W10,6,0%,Todo,"All business data",Dùng chart trong dashboard
37,Reports,"Biểu đồ feedback tốt/xấu theo tháng/quý/năm",Admin/Manager,P0,W9,W10,4,0%,Todo,"Feedback data",Demo bằng dữ liệu mẫu nếu thiếu data thật
38,Reports,"Bảng lương tháng: base salary, ca làm, bonus, penalty, lý do",Admin,P0,W9,W10,5,0%,Todo,"Payroll",Có export sau này
39,Testing,"Backend Jest tests cho auth/notification/report/payroll",Backend,P1,W10,W10,4,20%,Todo,"APIs",Hiện đã có test controller cơ bản
40,Testing,"Build client/server/backend, fix warning, test full demo flow",All,P0,W10,W10,5,30%,Todo,"All modules","Yêu cầu trước khi quay video demo"
41,Docs,"README, docs/forms.md, docs/dataflow.md, timeline, slide demo",All,P0,W10,W10,3,60%,Doing,"Feature freeze",Tài liệu nộp môn
